episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,4,4000,0,4000,False,0,1,default,71ac5d44d25b4f0f83d6992c96a0d63a,2022-02-26_15-25-51,1645885551,20.83346724510193,20.83346724510193,39982,patones,147.96.27.50,20.83346724510193,0,1,[],[],4443.002,900.292,694.201,5762.016,15673.332,255.211,4.66,4000,4000,4000,4000,10.483333333333333,40.573333333333316,,0.20000000298023224,4.999999873689376e-05,25.65741,0.015712451,25.636963,0.07426495,0.023679279,0.016625833,0.0
-21.0,-21.0,-21.0,1019.0,1,4,8000,0,8000,False,1,2,default,71ac5d44d25b4f0f83d6992c96a0d63a,2022-02-26_15-26-11,1645885571,20.067504167556763,40.90097141265869,39982,patones,147.96.27.50,40.90097141265869,0,2,[-21.0],[1019],12562.776,318.401,347.604,11507.358,15744.191,254.062,4.219,8000,8000,8000,8000,10.555172413793102,42.37931034482757,,0.20000000298023224,4.999999873689376e-05,6.029781,-0.008800703,6.0385814,0.13716991,-2.5967642e-08,7.555746e-07,0.0
