episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-20.0,-21.0,-20.775,1061.0,4,2,44000,False,40,11,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-45-27,1619171127,28.90867328643799,341.5035836696625,31995,volta1,147.96.21.176,341.5035836696625,0,11,"[-21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0]","[1124, 1123, 1129, 1128, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034]",1.5739434570818378,0.3932894417501562,3.840025584652122,0.07655678207498517,12557.083,318.545,1106.523,3614.928,14738.728,271.394,6.729,44000,44000,4.641666666666667,16.26388888888889,0.511388888888889,0.2675127740234053,0.0,0.0,0.7593749761581421,4.999999873689376e-05,-0.008653792,-0.07479109,0.05313254,0.8352834,0.017125608,0.6302207,0.0
-20.0,-21.0,-20.738095238095237,1063.8333333333333,2,2,48000,False,42,12,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-45-56,1619171156,28.818272590637207,370.3218562602997,31995,volta1,147.96.21.176,370.3218562602997,0,12,"[-20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0]","[1130, 1111, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128]",1.5736162569657302,0.3921221123398101,3.8336853622551694,0.07654535235902195,12513.633,319.651,1110.826,3600.923,14794.665,270.368,6.905,48000,48000,4.772222222222222,16.26388888888889,0.5111111111111112,0.2675127740234053,0.0,0.0,0.7593749761581421,4.999999873689376e-05,0.036269747,-0.068952546,0.086608164,0.72409105,0.024512436,0.54529136,0.0
-20.0,-21.0,-20.717391304347824,1067.7173913043478,4,2,52000,False,46,13,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-46-25,1619171185,29.037924766540527,399.3597810268402,31995,volta1,147.96.21.176,399.3597810268402,0,13,"[-21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0]","[1039, 1211, 1129, 1055, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111]",1.5730261743712741,0.39003236047076933,3.822103160259965,0.07651927406011974,12512.194,319.688,1107.858,3610.57,14842.934,269.489,6.961,52000,52000,4.741666666666667,16.255555555555556,0.5077777777777778,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,-0.019301245,-0.069652244,0.035226192,0.87074965,0.0132782925,0.5601135,0.0
-20.0,-21.0,-20.7,1068.78,4,2,56000,False,50,14,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-46-55,1619171215,29.69444704055786,429.05422806739807,31995,volta1,147.96.21.176,429.05422806739807,0,14,"[-20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0]","[1108, 1119, 1048, 1049, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055]",1.572524490758131,0.3882481162203625,3.8121801446869257,0.07649390949852619,12510.62,319.728,1104.248,3622.375,14969.48,267.21,6.961,56000,56000,4.802702702702703,16.25135135135135,0.4924324324324325,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,0.03264519,-0.06801739,0.083323315,0.66759837,0.015222392,0.58241266,0.0
-20.0,-21.0,-20.703703703703702,1068.351851851852,4,2,60000,False,54,15,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-47-24,1619171244,29.021306037902832,458.0755341053009,31995,volta1,147.96.21.176,458.0755341053009,0,15,"[-21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0]","[1037, 1119, 1041, 1055, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055, 1108, 1119, 1048, 1049]",1.5720701666297898,0.38666907331119843,3.8034522968152498,0.07647404303119822,12491.68,320.213,1103.692,3624.201,15002.438,266.623,7.119,60000,60000,4.788888888888889,16.269444444444446,0.5066666666666667,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,-0.03891106,-0.08395807,0.026259355,0.85682905,0.016493965,0.57579947,0.0
-20.0,-21.0,-20.724137931034484,1070.4827586206898,4,2,64000,False,58,16,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-47-53,1619171273,28.800344944000244,486.87587904930115,31995,volta1,147.96.21.176,486.87587904930115,0,16,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0]","[1105, 1090, 1108, 1094, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055, 1108, 1119, 1048, 1049, 1037, 1119, 1041, 1055]",1.5716941202108257,0.38523846893057995,3.795787531798996,0.07645760496306445,12489.423,320.271,1106.443,3615.188,15040.809,265.943,7.081,64000,64000,4.7972222222222225,16.26388888888889,0.49861111111111117,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,0.013079126,-0.054498333,0.054574043,0.8062418,0.011415898,0.6157362,0.0
-20.0,-21.0,-20.725806451612904,1069.8870967741937,4,2,68000,False,62,17,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-48-22,1619171302,28.70444655418396,515.5803256034851,31995,volta1,147.96.21.176,515.5803256034851,0,17,"[-20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1120, 1036, 1048, 1041, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055, 1108, 1119, 1048, 1049, 1037, 1119, 1041, 1055, 1105, 1090, 1108, 1094]",1.5713196611600877,0.3838821910604231,3.788798177851193,0.07644156620284433,12479.454,320.527,1104.747,3620.739,15056.909,265.659,7.134,68000,68000,4.702777777777778,16.26111111111111,0.49805555555555553,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,3.4415432e-05,-0.053072676,0.041100536,0.8531987,0.010540734,0.6012362,0.0
-20.0,-21.0,-20.70769230769231,1071.1692307692308,3,2,72000,False,65,18,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-48-51,1619171331,28.780481338500977,544.3608069419861,31995,volta1,147.96.21.176,544.3608069419861,0,18,"[-20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0]","[1110, 1128, 1055, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055, 1108, 1119, 1048, 1049, 1037, 1119, 1041, 1055, 1105, 1090, 1108, 1094, 1120, 1036, 1048, 1041]",1.5710245015026363,0.3829236393671131,3.783998754926414,0.07642544100825553,12472.912,320.695,1105.593,3617.968,15093.828,265.009,7.03,72000,72000,4.766666666666667,16.28611111111111,0.4863888888888889,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,0.020095076,-0.059763275,0.06609599,0.7718507,0.012082181,0.5663187,0.0
-20.0,-21.0,-20.681159420289855,1073.1884057971015,4,2,76000,False,69,19,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-49-19,1619171359,28.602275848388672,572.9630827903748,31995,volta1,147.96.21.176,572.9630827903748,0,19,"[-21.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0]","[1029, 1101, 1192, 1102, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055, 1108, 1119, 1048, 1049, 1037, 1119, 1041, 1055, 1105, 1090, 1108, 1094, 1120, 1036, 1048, 1041, 1110, 1128, 1055]",1.5706730222317318,0.38162831953182247,3.777832779291076,0.0764078180279945,12466.325,320.864,1104.886,3620.283,15096.685,264.959,6.986,76000,76000,4.8388888888888895,16.26388888888889,0.5041666666666667,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,-0.025839627,-0.06735225,0.025030015,0.89921635,0.014470329,0.5618032,0.0
-20.0,-21.0,-20.680555555555557,1074.2222222222222,3,2,80000,False,72,20,963e5854c4eb4f2e866c0770865cf3a3,2021-04-23_11-49-48,1619171388,28.81524968147278,601.7783324718475,31995,volta1,147.96.21.176,601.7783324718475,0,20,"[-21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, -21.0, -21.0, -20.0, -20.0, -21.0, -21.0, -20.0, -20.0, -20.0]","[1113, 1052, 1129, 1003, 1017, 1025, 1026, 1018, 1030, 1019, 1009, 1007, 1016, 1030, 1026, 1020, 1020, 1013, 1019, 1047, 1116, 1034, 1154, 1093, 1108, 1192, 1046, 1045, 1126, 1029, 1121, 1146, 1069, 1037, 1123, 1046, 1034, 1038, 1034, 1124, 1123, 1129, 1128, 1130, 1111, 1039, 1211, 1129, 1055, 1108, 1119, 1048, 1049, 1037, 1119, 1041, 1055, 1105, 1090, 1108, 1094, 1120, 1036, 1048, 1041, 1110, 1128, 1055, 1029, 1101, 1192, 1102]",1.5704647272177223,0.3807031376383929,3.773508017214572,0.07639902205542155,12481.738,320.468,1109.319,3605.815,15066.697,265.486,7.038,80000,80000,4.708333333333334,16.266666666666666,0.49444444444444446,0.2675127740234053,0.0,0.0,1.139062523841858,4.999999873689376e-05,0.016603792,-0.058373805,0.061275173,0.8418396,0.012029556,0.5378658,0.0
