n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,23820.59
2,nan,nan,nan,nan,23244.55
3,nan,nan,nan,nan,23016.23
4,-21.0,-21.0,-21.0,1021.375,22879.732
5,-21.0,-21.0,-21.0,1020.0833333333334,22841.119
6,-21.0,-21.0,-21.0,1020.0625,22759.809
7,-21.0,-21.0,-21.0,1019.4583333333334,22729.054
8,-21.0,-21.0,-21.0,1019.4583333333334,22707.765
9,-21.0,-21.0,-21.0,1019.6875,22669.302
10,-21.0,-21.0,-21.0,1019.8857142857142,22656.141
11,-21.0,-21.0,-21.0,1019.425,22537.559
12,-21.0,-21.0,-21.0,1019.5208333333334,22530.935
13,-21.0,-21.0,-21.0,1019.5208333333334,22502.183
14,-21.0,-21.0,-21.0,1019.1428571428571,22485.329
15,-21.0,-21.0,-21.0,1019.3275862068965,22461.272
16,-21.0,-21.0,-21.0,1019.203125,22497.293
17,-21.0,-21.0,-21.0,1019.3472222222222,22512.032
18,-21.0,-21.0,-21.0,1019.3472222222222,22509.488
19,-21.0,-21.0,-21.0,1019.3125,22526.075
20,-21.0,-21.0,-21.0,1019.4096385542168,22535.646
21,-21.0,-21.0,-21.0,1019.2386363636364,22524.736
22,-21.0,-21.0,-21.0,1018.875,22542.971
23,-21.0,-21.0,-21.0,1018.875,22575.795
24,-21.0,-21.0,-21.0,1018.96,22608.986
25,-21.0,-21.0,-21.0,1018.86,22603.248
26,-21.0,-21.0,-21.0,1019.21,22565.616
27,-21.0,-21.0,-21.0,1019.23,22547.357
28,-21.0,-21.0,-21.0,1019.23,22545.491
29,-21.0,-21.0,-21.0,1019.4,22542.593
30,-21.0,-21.0,-21.0,1019.29,22533.055
31,-21.0,-21.0,-21.0,1019.42,22548.072
32,-21.0,-21.0,-21.0,1019.43,22515.643
33,-21.0,-21.0,-21.0,1019.43,22518.377
34,-21.0,-21.0,-21.0,1018.86,22521.535
35,-21.0,-21.0,-21.0,1018.67,22540.396
36,-21.0,-21.0,-21.0,1018.38,22579.667
37,-21.0,-21.0,-21.0,1018.49,22598.747
38,-21.0,-21.0,-21.0,1018.49,22615.444
39,-21.0,-21.0,-21.0,1017.92,22623.872
40,-21.0,-21.0,-21.0,1017.9,22642.435
41,-21.0,-21.0,-21.0,1018.02,22652.07
42,-21.0,-21.0,-21.0,1018.27,22636.582
43,-21.0,-21.0,-21.0,1018.27,22663.375
44,-21.0,-21.0,-21.0,1018.63,22662.423
45,-21.0,-21.0,-21.0,1018.6,22662.485
46,-21.0,-21.0,-21.0,1018.67,22614.842
47,-21.0,-21.0,-21.0,1017.99,22603.67
48,-21.0,-21.0,-21.0,1017.99,22602.442
49,-21.0,-21.0,-21.0,1017.9,22607.239
50,-21.0,-21.0,-21.0,1017.88,22604.78
51,-21.0,-21.0,-21.0,1017.75,22607.501
52,-21.0,-21.0,-21.0,1017.72,22615.03
53,-21.0,-21.0,-21.0,1017.72,22593.762
54,-21.0,-21.0,-21.0,1018.12,22597.77
55,-21.0,-21.0,-21.0,1018.37,22602.27
56,-21.0,-21.0,-21.0,1018.75,22629.353
57,-21.0,-21.0,-21.0,1018.59,22638.652
58,-21.0,-21.0,-21.0,1018.59,22629.575
59,-21.0,-21.0,-21.0,1018.33,22624.612
60,-21.0,-21.0,-21.0,1018.55,22620.919
61,-21.0,-21.0,-21.0,1018.94,22610.078
62,-21.0,-21.0,-21.0,1018.77,22619.123
63,-21.0,-21.0,-21.0,1018.82,22602.482
64,-21.0,-21.0,-21.0,1018.89,22600.938
65,-21.0,-21.0,-21.0,1018.9,22615.687
66,-21.0,-21.0,-21.0,1018.77,22647.081
67,-21.0,-21.0,-21.0,1018.61,22648.876
68,-21.0,-21.0,-21.0,1018.61,22638.856
69,-21.0,-21.0,-21.0,1018.0,22664.371
70,-21.0,-21.0,-21.0,1018.0,22642.942
71,-21.0,-21.0,-21.0,1017.7,22603.4
72,-21.0,-21.0,-21.0,1018.07,22595.05
73,-21.0,-21.0,-21.0,1018.07,22618.701
74,-21.0,-21.0,-21.0,1018.49,22625.162
75,-21.0,-21.0,-21.0,1018.23,22606.899
76,-21.0,-21.0,-21.0,1017.99,22571.521
77,-21.0,-21.0,-21.0,1017.79,22557.87
78,-21.0,-21.0,-21.0,1017.79,22587.468
79,-21.0,-21.0,-21.0,1017.67,22563.271
80,-21.0,-21.0,-21.0,1017.83,22596.236
81,-21.0,-21.0,-21.0,1017.81,22646.148
82,-21.0,-21.0,-21.0,1017.42,22657.923
83,-21.0,-21.0,-21.0,1017.47,22635.857
84,-21.0,-21.0,-21.0,1017.92,22644.78
85,-21.0,-21.0,-21.0,1017.6,22636.322
86,-21.0,-21.0,-21.0,1017.69,22677.005
87,-21.0,-21.0,-21.0,1017.37,22669.41
88,-21.0,-21.0,-21.0,1017.38,22662.201
89,-21.0,-21.0,-21.0,1017.95,22678.585
90,-21.0,-21.0,-21.0,1017.83,22670.421
91,-21.0,-21.0,-21.0,1018.25,22643.428
92,-21.0,-21.0,-21.0,1018.62,22647.405
93,-21.0,-21.0,-21.0,1018.63,22660.964
94,-21.0,-21.0,-21.0,1018.39,22680.407
95,-21.0,-21.0,-21.0,1018.48,22679.088
96,-21.0,-21.0,-21.0,1018.71,22657.081
97,-21.0,-21.0,-21.0,1019.24,22679.773
98,-21.0,-21.0,-21.0,1019.38,22668.869
99,-21.0,-21.0,-21.0,1019.38,22678.018
100,-21.0,-21.0,-21.0,1019.57,22721.004
