model,average_steps_per_episode,average_time_per_step_ms,average_reward_per_episode,min_reward,max_reward
1,993.2,0.601098338223438,-21.0,-21.0,-21.0
3,1008.4,1.6669452816279846,-21.0,-21.0,-21.0
4,1010.2,1.2930182192523296,-21.0,-21.0,-21.0
