model,average_steps_per_episode,average_time_per_step_ms,average_reward_per_episode,min_reward,max_reward
1,993.2,10.084022967592368,-21.0,-21.0,-21.0
3,1002.0,70.47365637561637,-21.0,-21.0,-21.0
4,1001.6,43.15306293611944,-21.0,-21.0,-21.0
