episode,step_time_ms,steps,reward
0,0.4147058539653016,998,-21.0
1,0.41524405170680845,1022,-21.0
2,0.41423720844420303,1016,-21.0
3,0.41427294544699506,974,-21.0
4,0.4125145457140011,999,-21.0
