episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4800,False,0,1,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-22-51,1619634171,24.241461038589478,24.241461038589478,8918,volta1,147.96.21.176,24.241461038589478,0,1,[],[],6748.555,711.263,3059.32,1568.976,14118.815,339.972,10.075,4800,4800,7.293548387096774,24.245161290322574,0.0,4.120652711389485e-05,0.5503225806451614,0.3701918020261758,0.20000000298023224,4.999999873689376e-05,0.6264673,-0.0044019255,0.62570703,0.6529573,0.025811186,0.11751982,0.0
nan,nan,nan,nan,0,8,9600,False,0,2,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-23-11,1619634191,20.27413773536682,44.5155987739563,8918,volta1,147.96.21.176,44.5155987739563,0,2,[],[],6550.074,732.816,1805.146,2659.065,13605.278,352.804,9.572,9600,9600,7.400000000000001,25.248148148148147,0.0,4.120652711389485e-05,0.6229629629629628,0.3800984312519226,0.30000001192092896,4.999999873689376e-05,0.39676738,-0.010061883,0.40214363,0.6461113,0.015618888,0.15180469,0.0
nan,nan,nan,nan,0,8,14400,False,0,3,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-23-32,1619634212,20.152157068252563,64.66775584220886,8918,volta1,147.96.21.176,64.66775584220886,0,3,[],[],6455.736,743.525,1403.91,3419.022,13410.286,357.934,8.998,14400,14400,7.588461538461538,25.296153846153842,0.0,4.120652711389485e-05,0.658076923076923,0.38009843125192255,0.30000001192092896,4.999999873689376e-05,-0.018446917,-0.09248844,0.04489176,0.8011898,0.09716588,0.3278485,0.0
-21.0,-21.0,-21.0,1019.0,8,8,19200,False,8,4,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-23-52,1619634232,20.22062373161316,84.88837957382202,8918,volta1,147.96.21.176,84.88837957382202,0,4,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015]",6426.789,746.874,1201.691,3994.373,13315.701,360.477,8.621,19200,19200,7.503846153846154,25.20384615384615,0.0,4.120652711389485e-05,0.6780769230769231,0.38009843125192255,0.44999998807907104,4.999999873689376e-05,0.109663785,-0.036440533,0.13160408,0.44599617,0.032222785,0.4278872,0.0
-21.0,-21.0,-21.0,1018.0909090909091,3,8,24000,False,11,5,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-24-13,1619634253,20.19820261001587,105.08658218383789,8918,volta1,147.96.21.176,105.08658218383789,0,5,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1006, 1020, 1021, 1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015]",6400.034,749.996,1079.449,4446.714,13261.992,361.937,8.864,24000,24000,7.492307692307692,25.199999999999996,0.0,4.120652711389485e-05,0.6838461538461539,0.38009843125192255,0.675000011920929,4.999999873689376e-05,0.014072072,-0.026439285,0.034163468,0.8321471,0.009404272,0.3735633,0.0
-21.0,-21.0,-21.0,1017.75,5,8,28800,False,16,6,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-24-33,1619634273,20.2462899684906,125.33287215232849,8918,volta1,147.96.21.176,125.33287215232849,0,6,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1011, 1025, 1003, 1026, 1020, 1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015, 1006, 1020, 1021]",6386.239,751.616,999.101,4804.319,13225.337,362.94,8.886,28800,28800,7.419230769230769,25.138461538461534,0.0,4.120652711389485e-05,0.6757692307692308,0.38009843125192255,0.675000011920929,4.999999873689376e-05,-0.032473106,-0.05706267,0.011534546,0.9336951,0.019340755,0.51203346,0.0
-21.0,-21.0,-21.0,1017.875,8,8,33600,False,24,7,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-24-54,1619634294,20.215437650680542,145.54830980300903,8918,volta1,147.96.21.176,145.54830980300903,0,7,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1033, 1018, 1030, 1017, 1026, 1002, 1003, 1016, 1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015, 1006, 1020, 1021, 1011, 1025, 1003, 1026, 1020]",6372.933,753.185,940.343,5104.522,13200.095,363.634,8.906,33600,33600,7.373076923076924,25.073076923076925,0.0,4.120652711389485e-05,0.6888461538461537,0.38009843125192255,0.675000011920929,4.999999873689376e-05,-0.021703755,-0.04285074,0.011104739,0.95441085,0.014877394,0.47392097,0.0
-21.0,-21.0,-21.0,1017.875,0,8,38400,False,24,8,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-25-15,1619634315,20.262605905532837,165.81091570854187,8918,volta1,147.96.21.176,165.81091570854187,0,8,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015, 1006, 1020, 1021, 1011, 1025, 1003, 1026, 1020, 1033, 1018, 1030, 1017, 1026, 1002, 1003, 1016]",6360.635,754.642,897.203,5349.958,13196.18,363.742,8.877,38400,38400,7.342307692307693,25.246153846153845,0.0,4.120652711389485e-05,0.6807692307692308,0.38009843125192255,0.675000011920929,4.999999873689376e-05,-0.041175287,-0.06965881,0.009900818,0.9154721,0.027529916,0.581552,0.0
-21.0,-21.0,-21.0,1018.34375,8,8,43200,False,32,9,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-25-35,1619634335,20.15331530570984,185.9642310142517,8918,volta1,147.96.21.176,185.9642310142517,0,9,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1026, 1018, 1016, 1029, 1015, 1016, 1015, 1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015, 1006, 1020, 1021, 1011, 1025, 1003, 1026, 1020, 1033, 1018, 1030, 1017, 1026, 1002, 1003, 1016]",6351.46,755.732,862.726,5563.76,13176.885,364.274,8.822,43200,43200,7.61153846153846,25.20384615384615,0.0,4.120652711389485e-05,0.6657692307692307,0.38009843125192255,1.0125000476837158,4.999999873689376e-05,-0.029019859,-0.053622276,0.012429093,0.95638674,0.012023039,0.5423693,0.0
-21.0,-21.0,-21.0,1017.3611111111111,4,8,48000,False,36,10,b37b1899b51e4bb99ada83f21f119f1b,2021-04-28_20-25-56,1619634356,20.24841856956482,206.21264958381653,8918,volta1,147.96.21.176,206.21264958381653,0,10,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1020, 1009, 1006, 1003, 1027, 1015, 1015, 1024, 1026, 1009, 1021, 1015, 1006, 1020, 1021, 1011, 1025, 1003, 1026, 1020, 1033, 1018, 1030, 1017, 1026, 1002, 1003, 1016, 1023, 1026, 1018, 1016, 1029, 1015, 1016, 1015]",6345.424,756.451,835.119,5747.683,13170.794,364.443,11.944,48000,48000,7.353846153846154,25.18846153846154,0.0,4.120652711389485e-05,0.6753846153846155,0.38009843125192255,1.0125000476837158,4.999999873689376e-05,-0.037166603,-0.057120446,0.0058714664,0.9749266,0.01390852,0.48365825,0.0
