model,average_model_time_per_episode,average_steps_per_episode,average_model_time_per_step,average_reward_per_episode,min_reward,max_reward
model1,0.7374266246032123,1.004550485795105,0.7340861758874533,1.0,1.0,1.0
model3,1.1395214465937513,1.046222317550539,1.0891771542989528,0.9112903225806451,0.9112903225806451,0.9112903225806451
model4,0.6997356510165423,0.9957165585607637,0.7027458215899911,1.0,1.0,1.0
