model,average_model_time_per_episode,average_steps_per_episode,average_model_time_per_step,average_reward_per_episode,min_reward,max_reward
model1,0.9983503296683103,1.0,0.9983503296683104,1.0,1.0,1.0
model3,0.9949817570949441,0.9562520012808197,1.0405016206630144,1.0583941605839418,0.8947368421052632,1.1
model4,1.0187889980082034,0.9940775836541309,1.0248586375554671,1.0,1.0,1.0
