n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,-21.0,-21.0,-21.0,1013.0,434025.555
2,-21.0,-21.0,-21.0,1018.5,433479.152
3,-21.0,-21.0,-21.0,1024.25,433306.266
4,-21.0,-21.0,-21.0,1023.75,433189.932
5,-21.0,-21.0,-21.0,1021.25,433167.092
6,-21.0,-21.0,-21.0,1019.75,433002.605
7,-21.0,-21.0,-21.0,1019.2083333333334,432969.895
8,-21.0,-21.0,-21.0,1018.5357142857143,432960.182
9,-21.0,-21.0,-21.0,1018.15625,432985.75
10,-21.0,-21.0,-21.0,1018.1388888888889,433003.973
11,-21.0,-21.0,-21.0,1018.625,432902.0
12,-21.0,-21.0,-21.0,1019.3863636363636,432907.589
13,-21.0,-21.0,-21.0,1019.0833333333334,432885.021
14,-21.0,-21.0,-21.0,1018.9230769230769,432894.51
15,-21.0,-21.0,-21.0,1018.9464285714286,432857.035
16,-21.0,-21.0,-21.0,1019.35,432929.305
17,-21.0,-21.0,-21.0,1019.671875,432933.783
18,-21.0,-21.0,-21.0,1019.5588235294117,432905.152
19,-21.0,-21.0,-21.0,1019.5833333333334,432856.508
20,-21.0,-21.0,-21.0,1019.828947368421,432826.823
21,-21.0,-21.0,-21.0,1019.4375,432822.756
22,-21.0,-21.0,-21.0,1019.5357142857143,432798.635
23,-21.0,-21.0,-21.0,1019.375,432803.326
24,-21.0,-21.0,-21.0,1019.1304347826087,432757.047
25,-21.0,-21.0,-21.0,1018.8854166666666,432722.563
26,-21.0,-21.0,-21.0,1018.8,432637.709
27,-21.0,-21.0,-21.0,1019.03,432547.685
28,-21.0,-21.0,-21.0,1018.36,432515.247
29,-21.0,-21.0,-21.0,1017.99,432477.717
30,-21.0,-21.0,-21.0,1018.04,432390.703
31,-21.0,-21.0,-21.0,1018.46,432301.282
32,-21.0,-21.0,-21.0,1018.58,432260.023
33,-21.0,-21.0,-21.0,1018.68,432186.879
34,-21.0,-21.0,-21.0,1018.87,432161.841
35,-21.0,-21.0,-21.0,1019.11,432132.203
36,-21.0,-21.0,-21.0,1018.84,432135.791
37,-21.0,-21.0,-21.0,1018.64,432187.361
38,-21.0,-21.0,-21.0,1018.83,432142.336
39,-21.0,-21.0,-21.0,1019.08,432126.145
40,-21.0,-21.0,-21.0,1019.24,432156.144
41,-21.0,-21.0,-21.0,1019.04,432175.122
42,-21.0,-21.0,-21.0,1018.46,432153.929
43,-21.0,-21.0,-21.0,1018.81,432126.404
44,-21.0,-21.0,-21.0,1018.74,432094.988
45,-21.0,-21.0,-21.0,1018.78,432095.643
46,-21.0,-21.0,-21.0,1018.91,432121.505
47,-21.0,-21.0,-21.0,1018.81,432097.897
48,-21.0,-21.0,-21.0,1018.98,432118.685
49,-21.0,-21.0,-21.0,1019.01,432119.408
50,-21.0,-21.0,-21.0,1019.22,432108.955
