n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,11362.269
2,nan,nan,nan,nan,11063.151
3,nan,nan,nan,nan,10970.174
4,-21.0,-21.0,-21.0,1018.375,10921.135
5,-21.0,-21.0,-21.0,1016.2727272727273,10891.436
6,-21.0,-21.0,-21.0,1017.6875,10877.753
7,-21.0,-21.0,-21.0,1019.0,10868.516
8,-21.0,-21.0,-21.0,1019.0,10939.209
9,-21.0,-21.0,-21.0,1018.125,10997.457
10,-21.0,-21.0,-21.0,1016.8888888888889,11003.615
11,-21.0,-21.0,-21.0,1018.05,10945.022
12,-21.0,-21.0,-21.0,1018.5833333333334,10943.626
13,-21.0,-21.0,-21.0,1018.5833333333334,10941.471
14,-21.0,-21.0,-21.0,1019.125,10941.061
15,-21.0,-21.0,-21.0,1019.2203389830509,10941.677
16,-21.0,-21.0,-21.0,1019.34375,10939.564
17,-21.0,-21.0,-21.0,1019.2361111111111,10937.821
18,-21.0,-21.0,-21.0,1019.2361111111111,10872.961
19,-21.0,-21.0,-21.0,1019.7125,10806.693
20,-21.0,-21.0,-21.0,1019.5853658536586,10780.257
21,-21.0,-21.0,-21.0,1019.1477272727273,10782.463
22,-21.0,-21.0,-21.0,1019.2708333333334,10786.729
23,-21.0,-21.0,-21.0,1019.2708333333334,10790.861
24,-21.0,-21.0,-21.0,1018.89,10793.156
25,-21.0,-21.0,-21.0,1018.86,10795.089
26,-21.0,-21.0,-21.0,1019.29,10798.117
27,-21.0,-21.0,-21.0,1018.87,10799.016
28,-21.0,-21.0,-21.0,1018.87,10801.524
29,-21.0,-21.0,-21.0,1019.08,10803.904
30,-21.0,-21.0,-21.0,1019.22,10866.849
31,-21.0,-21.0,-21.0,1019.39,10958.054
32,-21.0,-21.0,-21.0,1018.75,10998.96
33,-21.0,-21.0,-21.0,1018.75,10992.732
34,-21.0,-21.0,-21.0,1018.84,10990.317
35,-21.0,-21.0,-21.0,1018.79,10997.422
36,-21.0,-21.0,-21.0,1018.36,10999.537
37,-21.0,-21.0,-21.0,1018.03,10999.01
38,-21.0,-21.0,-21.0,1018.03,11002.289
39,-21.0,-21.0,-21.0,1018.24,11013.85
40,-21.0,-21.0,-21.0,1017.83,10968.561
41,-21.0,-21.0,-21.0,1017.66,10877.17
42,-21.0,-21.0,-21.0,1017.73,10835.077
43,-21.0,-21.0,-21.0,1017.73,10838.567
44,-21.0,-21.0,-21.0,1017.98,10838.02
45,-21.0,-21.0,-21.0,1018.06,10828.33
46,-21.0,-21.0,-21.0,1018.03,10823.413
47,-21.0,-21.0,-21.0,1017.78,10820.69
48,-21.0,-21.0,-21.0,1017.79,10814.031
49,-21.0,-20.99,-20.0,1019.6,10805.011
50,-21.0,-20.99,-20.0,1019.74,10789.642
51,-21.0,-20.99,-20.0,1019.75,10890.675
52,-21.0,-20.99,-20.0,1020.17,10993.694
