n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
117,-21.0,-21.0,-21.0,1020.79,13293.771
118,-21.0,-21.0,-21.0,1020.79,13317.432
119,-21.0,-21.0,-21.0,1021.04,13306.836
120,-21.0,-21.0,-21.0,1021.04,13299.966
121,-21.0,-21.0,-21.0,1020.77,13273.832
122,-21.0,-21.0,-21.0,1020.75,13283.911
123,-21.0,-21.0,-21.0,1020.81,13271.208
124,-21.0,-21.0,-21.0,1021.09,13272.31
125,-21.0,-21.0,-21.0,1021.09,13253.244
126,-21.0,-21.0,-21.0,1020.81,13193.953
127,-21.0,-21.0,-21.0,1020.38,13170.775
128,-21.0,-21.0,-21.0,1020.33,13143.198
129,-21.0,-21.0,-21.0,1019.92,13159.776
130,-21.0,-21.0,-21.0,1019.92,13171.543
131,-21.0,-21.0,-21.0,1019.64,13172.411
132,-21.0,-21.0,-21.0,1019.65,13162.38
133,-21.0,-21.0,-21.0,1019.61,13162.891
134,-21.0,-21.0,-21.0,1019.42,13159.216
135,-21.0,-21.0,-21.0,1019.42,13164.703
136,-21.0,-21.0,-21.0,1019.42,13175.036
137,-21.0,-21.0,-21.0,1019.22,13174.189
138,-21.0,-21.0,-21.0,1019.1,13160.182
139,-21.0,-21.0,-21.0,1018.5,13139.484
140,-21.0,-21.0,-21.0,1018.5,13135.084
141,-21.0,-21.0,-21.0,1018.85,13148.988
142,-21.0,-21.0,-21.0,1019.14,13159.685
143,-21.0,-21.0,-21.0,1019.34,13163.796
144,-21.0,-21.0,-21.0,1019.35,13158.405
145,-21.0,-21.0,-21.0,1019.35,13157.414
146,-21.0,-21.0,-21.0,1018.85,13150.752
147,-21.0,-21.0,-21.0,1019.29,13142.887
148,-21.0,-21.0,-21.0,1019.39,13158.37
149,-21.0,-21.0,-21.0,1019.3,13169.269
150,-21.0,-21.0,-21.0,1019.3,13167.328
151,-21.0,-21.0,-21.0,1019.45,13159.146
152,-21.0,-21.0,-21.0,1019.28,13163.071
153,-21.0,-21.0,-21.0,1019.3,13170.007
154,-21.0,-21.0,-21.0,1019.27,13212.446
155,-21.0,-21.0,-21.0,1019.27,13214.446
156,-21.0,-21.0,-21.0,1018.95,13214.501
157,-21.0,-21.0,-21.0,1019.01,13244.953
158,-21.0,-21.0,-21.0,1019.04,13239.425
159,-21.0,-21.0,-21.0,1018.76,13233.575
160,-21.0,-21.0,-21.0,1018.76,13229.411
161,-21.0,-21.0,-21.0,1018.69,13229.2
162,-21.0,-21.0,-21.0,1018.59,13216.01
163,-21.0,-21.0,-21.0,1018.63,13217.198
164,-21.0,-21.0,-21.0,1018.16,13180.863
165,-21.0,-21.0,-21.0,1018.16,13178.925
166,-21.0,-21.0,-21.0,1018.48,13191.769
167,-21.0,-21.0,-21.0,1018.04,13182.791
168,-21.0,-21.0,-21.0,1017.8,13191.766
169,-21.0,-21.0,-21.0,1017.76,13202.952
170,-21.0,-21.0,-21.0,1017.76,13216.923
171,-21.0,-21.0,-21.0,1018.11,13220.571
172,-21.0,-21.0,-21.0,1017.95,13219.042
173,-21.0,-21.0,-21.0,1018.12,13208.434
174,-21.0,-21.0,-21.0,1018.2,13221.697
175,-21.0,-21.0,-21.0,1018.2,13226.98
176,-21.0,-21.0,-21.0,1018.32,13210.724
177,-21.0,-21.0,-21.0,1018.59,13197.889
178,-21.0,-21.0,-21.0,1018.53,13206.148
179,-21.0,-21.0,-21.0,1018.3,13208.869
