n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,16944.18,26.83705973625183
2,nan,nan,nan,nan,16657.921,23.46372652053833
3,nan,nan,nan,nan,16560.779,23.425005435943604
4,-21.0,-21.0,-21.0,1013.0,16511.832,23.38061022758484
5,-21.0,-21.0,-21.0,1011.5,16480.044,23.43916964530945
6,-21.0,-21.0,-21.0,1015.3125,16458.359,23.43853759765625
7,-21.0,-21.0,-21.0,1017.4166666666666,16435.303,23.358376264572144
8,-21.0,-21.0,-21.0,1017.4166666666666,16421.735,23.436500072479248
9,-21.0,-21.0,-21.0,1019.03125,16412.567,23.435057878494263
10,-21.0,-21.0,-21.0,1018.2857142857143,16402.643,23.40188765525818
11,-21.0,-21.0,-21.0,1019.125,16331.954,23.29654622077942
12,-21.0,-21.0,-21.0,1019.2708333333334,16326.609,23.409501791000366
13,-21.0,-21.0,-21.0,1019.2708333333334,16319.444,23.354572296142578
14,-21.0,-21.0,-21.0,1019.5714285714286,16311.931,23.400066614151
15,-21.0,-21.0,-21.0,1019.4745762711865,16281.427,23.174569845199585
16,-21.0,-21.0,-21.0,1019.40625,16232.519,22.877394914627075
17,-21.0,-21.0,-21.0,1018.9166666666666,16150.882,22.54658269882202
18,-21.0,-21.0,-21.0,1018.9166666666666,16141.012,23.306276321411133
19,-21.0,-21.0,-21.0,1019.375,16114.199,23.125784397125244
20,-21.0,-21.0,-21.0,1019.4512195121952,16111.286,23.3400616645813
