model,iter_ini,iter_fin,reward_mean_last_iter,len_mean_last_iter,mean_learn_time_ms,mean_learn_throughput,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_update_time_ms,mean_cpu_util_percent,mean_ram_util_percent
model1,1,1000,-12.67,2535.1,14089.779985957874,340.67314944834504,5807.875259779337,826.4749558676027,186.23519859578738,26262.836300902713,6.607138415245736,15.538568824753831,25.214967062849652
model2,1,1000,-21.0,1018.92,22663.254667001,211.79809528585758,7088.754881644935,677.2283510531595,792.0731203610832,6113.742594784353,6.8408074222668,12.854003752807467,30.11649703475714
model3,1,1000,-17.87,2069.31,41464.48722768305,115.76366399197592,7667.702794383149,626.0820762286861,1850.1216008024073,2600.118629889669,6.344477432296891,10.758488022254758,36.79832147611262
model4,1,1000,-19.78,1360.56,36678.91380641925,130.86667602808427,9841.457940822467,487.742851554664,1293.075217652959,3723.4497743229686,14.310289869608827,17.450281177980596,30.313102179142373
model5,1,1000,-21.0,1019.78,69333.53109491194,69.24907338551859,14228.317344422701,337.36855283757336,3002.953597847358,1604.3630283757338,15.942308219178082,14.035130607286252,36.881816156954365
model6,1,1000,-21.0,1019.63,48405.408697091276,99.16280541624876,15070.231102306921,318.51288866599805,1479.067299899699,3253.992083249749,18.393258776328985,15.191344348705867,31.000673306261625
