model,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_learn_time_ms,mean_learn_throughput,mean_update_time_ms,mean_ram_util_percent,mean_cpu_util_percent
model1,0.8121317502571858,1.026190756270012,0.8088610592187349,1.0979698053027445,20.047777298262528,0.041567173764444715,0.7549561832230027,0.26371551848952723,4.53435478570617
model2,1.0110201071498943,0.8241602690318972,0.7120830709958682,1.2531698057644904,16.93287193647291,0.04921356816704102,0.77092946409131,0.2958041568064428,6.051075653259926
model3,1.4383866114475907,0.5793199546372535,0.6780985960360058,1.3259404476273036,12.174678140550304,0.06844669326075599,0.7414574407741179,0.3550581254839316,8.232436681103348
model4,0.813124989012678,1.0248510632328098,0.43658799758353567,2.0622030604390726,11.794495426532725,0.07065419769671333,0.38939532677351146,0.30663873373860734,4.5604343602038515
model5,1.0571606491400125,0.7882692615041565,0.4167417841211718,2.1535778741411065,14.419240590695455,0.057777812819611016,0.5157107670337007,0.3674295547600674,5.809449427344707
model6,1.0330772125728565,0.8066508111369488,0.44045457569387014,2.0486642774319095,31.200662266296575,0.02670840128899804,0.7788984091517983,0.3221420191566613,4.886518529984699
