model,iter_ini,iter_fin,reward_mean_last_iter,len_mean_last_iter,mean_learn_time_ms,mean_learn_throughput,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_update_time_ms,mean_cpu_util_percent,mean_ram_util_percent
model1,1,50,-21.0,1019.31,282468.77134,14.160820000000001,4716.759900000001,848.1209600000001,150.63840000000002,28835.80126,4.9881,70.45738391354723,6.649578112675748
model2,1,50,-21.0,1018.71,383753.98894,10.423340000000001,7166.87372,558.1447000000001,564.0218600000001,7661.55762,5.27378,77.78054915552498,8.90858501133007
model3,1,50,-20.46,1111.03,504816.7862600001,7.923639999999998,11029.12104,362.70183999999995,1254.56486,3447.602459999999,4.70416,88.56857142762108,13.06554304426365
model4,1,50,-21.0,1019.22,432609.2811399999,9.24628,8002.335380000001,499.86377999999996,564.54112,7678.50952,5.57236,79.58086187928126,9.295171267901235
model5,1,50,-20.68,1068.2,999736.8658599998,4.00106,15041.617200000002,265.93726,1251.45624,3455.1207200000003,8.22162,81.53638146920729,13.551469289292402
model6,1,50,-21.0,1020.03,1510280.8086199998,2.64848,15568.71234,256.92868,651.4619600000001,6666.337340000001,14.326479999999998,74.23278565532956,9.98661949409513
