n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-21.0,-21.0,1007.0,16761.565,30.828439474105835
2,-21.0,-21.0,-21.0,1015.8333333333334,16411.908,30.404285430908203
3,-21.0,-21.0,-21.0,1014.5,17163.615,33.008915424346924
4,-21.0,-21.0,-21.0,1015.3571428571429,17718.962,31.439730405807495
5,-21.0,-21.0,-21.0,1015.3333333333334,17324.844,27.332510709762573
6,-21.0,-21.0,-21.0,1015.8181818181819,16976.086,26.404472827911377
7,-21.0,-21.0,-21.0,1015.6538461538462,16754.546,25.24362564086914
8,-21.0,-21.0,-21.0,1015.6333333333333,16588.203,25.21360993385315
9,-21.0,-21.0,-21.0,1015.7941176470588,16446.827,26.8749361038208
10,-21.0,-21.0,-21.0,1016.8947368421053,16357.831,27.102786779403687
