n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
71,-209.0,-62.81,13.0,76.58,4610.939,10.15756344795227
72,-209.0,-75.33,13.0,87.75,4724.771,8.96408224105835
73,-209.0,-51.82,14.0,66.82,4619.539,7.570673704147339
74,-200.0,-48.89,14.0,64.64,4503.062,8.439242601394653
75,-200.0,-60.89,12.0,75.2,4628.529,7.9032886028289795
76,-209.0,-63.51,15.0,77.4,4489.242,6.853801488876343
77,-209.0,-60.97,15.0,75.16,4563.908,7.695039510726929
78,-218.0,-41.82,14.0,57.75,4399.451,7.216443300247192
79,-218.0,-53.04,14.0,67.92,4398.996,9.502144813537598
80,-218.0,-49.95,14.0,65.13,4219.079,8.381021976470947
81,-209.0,-49.84,14.0,65.08,4102.676,8.688272714614868
82,-209.0,-59.21,13.0,73.52,4042.837,8.49165415763855
83,-200.0,-52.6,14.0,67.45,4094.852,7.952418565750122
84,-200.0,-44.16,14.0,60.24,4026.866,8.37319302558899
85,-200.0,-41.72,13.0,57.74,3969.908,8.144410610198975
86,-200.0,-42.77,13.0,58.25,4135.579,9.992529392242432
87,-200.0,-56.45,13.0,71.03,4226.289,8.41215991973877
88,-209.0,-67.5,13.0,81.09,4468.097,9.031285285949707
89,-209.0,-58.93,13.0,73.57,4298.246,8.212612628936768
90,-200.0,-41.58,13.0,58.08,4241.344,7.903102397918701
91,-209.0,-59.65,13.0,73.99,4177.723,7.884031772613525
92,-209.0,-73.13,15.0,85.91,4067.295,7.007686138153076
93,-200.0,-65.33,15.0,79.1,4072.332,8.048357009887695
94,-200.0,-64.92,13.0,78.9,4198.346,8.812813520431519
95,-218.0,-75.58,12.0,88.15,4310.123,8.492565393447876
96,-218.0,-84.22,12.0,95.95,4318.254,8.38731050491333
97,-209.0,-71.26,12.0,84.52,4286.951,8.131815195083618
98,-209.0,-56.18,14.0,70.76,4161.403,7.9239184856414795
99,-200.0,-65.97,14.0,79.62,4195.325,8.183425188064575
100,-209.0,-65.36,13.0,79.28,4384.191,9.879571437835693
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-893.0,-780.95,-506.0,196.55,4287.705,8.24838662147522
2,-893.0,-754.375,-226.0,195.175,4821.493,9.118996858596802
3,-893.0,-749.4333333333333,-226.0,196.78333333333333,4798.505,8.661937713623047
4,-893.0,-724.5975609756098,-138.0,194.1829268292683,4747.526,9.181194543838501
5,-884.0,-709.73,-138.0,195.23,4896.379,9.683757066726685
6,-866.0,-668.6,-138.0,195.92,4914.757,9.304538488388062
7,-866.0,-627.75,-138.0,197.16,4975.316,9.321289777755737
8,-830.0,-573.93,-138.0,197.16,4990.135,9.769370079040527
9,-830.0,-522.24,-153.0,197.76,4644.267,6.013020038604736
10,-749.0,-474.0,-153.0,197.76,4375.956,5.991300106048584
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-893.0,-765.35,-329.0,194.9,3673.711,8.122333526611328
2,-893.0,-741.4634146341464,-329.0,195.02439024390245,3805.093,7.713823556900024
3,-893.0,-725.5081967213115,-309.0,195.24590163934425,3771.511,7.5652923583984375
4,-893.0,-694.1927710843373,-73.0,192.46987951807228,3878.897,8.390843629837036
5,-893.0,-670.75,-73.0,193.18,4025.891,8.444833040237427
6,-875.0,-624.05,-73.0,190.64,3962.678,7.916005849838257
7,-875.0,-601.02,-73.0,190.08,3947.594,7.750525236129761
8,-812.0,-567.66,-137.0,189.69,4060.315,9.717350959777832
9,-812.0,-525.81,-88.0,186.09,4075.874,8.028571367263794
10,-857.0,-483.58,-58.0,178.6,3924.955,6.3250532150268555
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-884.0,-759.85,-395.0,191.5,2290.024,6.200985431671143
2,-884.0,-745.65,-395.0,195.75,3476.657,8.654202699661255
3,-884.0,-726.1311475409836,-395.0,196.50819672131146,3019.82,6.568488597869873
4,-884.0,-710.7777777777778,-395.0,197.37037037037038,2963.648,6.743287086486816
5,-875.0,-667.67,-53.0,193.52,3458.415,9.231478691101074
6,-821.0,-622.75,-53.0,193.93,3472.46,7.398035049438477
7,-821.0,-578.11,-53.0,192.1,3467.862,7.20008397102356
8,-785.0,-520.03,-34.0,187.78,3362.707,6.871255159378052
9,-758.0,-487.68,-34.0,188.61,3348.716,7.2170209884643555
10,-722.0,-449.43,-34.0,189.96,3364.011,7.726320028305054
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-920.0,-717.4761904761905,-183.0,186.9047619047619,4397.239,8.2499418258667
2,-920.0,-727.2926829268292,-183.0,190.73170731707316,3697.001,6.867610216140747
3,-920.0,-711.5967741935484,-183.0,192.6451612903226,3830.575,7.959760904312134
4,-920.0,-685.952380952381,-85.0,190.0952380952381,3937.101,8.13756537437439
5,-920.0,-679.39,-85.0,191.68,4210.544,11.81766963005066
6,-884.0,-660.38,-85.0,194.21,4134.666,7.765719175338745
7,-866.0,-609.46,-85.0,193.63,4199.965,8.40579342842102
8,-830.0,-569.01,-32.0,192.54,4298.462,9.46550440788269
9,-803.0,-534.95,-32.0,192.2,4157.061,6.842595100402832
10,-794.0,-478.65,-9.0,186.24,4091.616,7.316408634185791
