episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-21.0,-21.0,-21.0,1018.225,4,2,44000,False,40,11,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_04-16-33,1612926993,1526.3335347175598,16797.747987747192,15250,esfinge,147.96.71.224,16797.747987747192,0,11,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1018, 1013, 1028, 1019, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015]",1.732299105472316,0.24796882525126707,5.425046681540065,0.10645776138873193,15563.566,257.011,549.525,7279.008,1510353.285,2.648,14.091,44000,44000,74.22485071198898,9.749471750114838,0.0005859375232830644,4.999999873689376e-05,0.009280533,-0.000119008364,0.009399537,0.96098185,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.3636363636364,4,2,48000,False,44,12,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_04-42-01,1612928521,1526.8857145309448,18324.633702278137,15250,esfinge,147.96.71.224,18324.633702278137,0,12,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1021, 1024, 1011, 1023, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019]",1.7322580152873512,0.24761633823909965,5.4251874521709516,0.10643178779415216,15562.838,257.023,550.746,7262.87,1510387.31,2.648,14.149,48000,48000,74.20385497934834,10.047865993575034,0.0002929687616415322,4.999999873689376e-05,0.018170437,-8.5393505e-05,0.018255828,0.9127824,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.1666666666666,4,2,52000,False,48,13,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_05-07-29,1612930049,1526.4343457221985,19851.068048000336,15250,esfinge,147.96.71.224,19851.068048000336,0,13,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1015, 1021, 1009, 1019, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023]",1.7321577462476014,0.24732682537173753,5.425136716737067,0.10640643233270804,15557.721,257.107,551.508,7252.844,1510393.673,2.648,14.063,52000,52000,74.20192837465564,10.097474747474745,0.0001464843808207661,4.999999873689376e-05,0.0117458105,0.0034008243,0.008344984,0.95768934,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.5192307692307,4,2,56000,False,52,14,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_05-32-56,1612931576,1526.7851870059967,21377.853235006332,15250,esfinge,147.96.71.224,21377.853235006332,0,14,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1034, 1012, 1022, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019]",1.7321124239178096,0.24707322788739505,5.425247235287966,0.10639041026323241,15556.417,257.129,552.319,7242.197,1510422.609,2.648,14.191,56000,56000,74.21964203763194,9.728774667278568,7.324219041038305e-05,4.999999873689376e-05,0.011744101,0.0013196967,0.010424404,0.951948,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.4642857142857,4,2,60000,False,56,15,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_05-58-24,1612933104,1526.4936456680298,22904.346880674362,15250,esfinge,147.96.71.224,22904.346880674362,0,15,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1013, 1000, 1031, 1027, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019, 1023, 1034, 1012, 1022]",1.7320556568995487,0.24685804489883192,5.425117955116155,0.10637321465027161,15554.236,257.165,549.337,7281.502,1510404.034,2.648,14.161,60000,60000,74.22125803489439,9.986501377410468,3.662109520519152e-05,4.999999873689376e-05,0.0073540066,0.0003946313,0.0069593797,0.97621554,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.45,4,2,64000,False,60,16,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_06-23-50,1612934630,1525.2936053276062,24429.64048600197,15250,esfinge,147.96.71.224,24429.64048600197,0,16,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1023, 1006, 1019, 1025, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019, 1023, 1034, 1012, 1022, 1013, 1000, 1031, 1027]",1.7320031442127188,0.24667970675735945,5.4250948249345186,0.10635688132635002,15549.765,257.239,549.269,7282.409,1510227.531,2.649,14.276,64000,64000,74.23382352941177,10.129733455882352,1.831054760259576e-05,4.999999873689376e-05,0.00084547314,-0.002904903,0.0037503755,0.98269916,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.265625,4,2,68000,False,64,17,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_06-49-17,1612936157,1525.7831764221191,25955.423662424088,15250,esfinge,147.96.71.224,25955.423662424088,0,17,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1021, 1007, 1007, 1027, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019, 1023, 1034, 1012, 1022, 1013, 1000, 1031, 1027, 1023, 1006, 1019, 1025]",1.731946220872234,0.246514355496526,5.424961010993524,0.1063412212154898,15548.401,257.261,547.313,7308.431,1510119.649,2.649,13.931,68000,68000,74.56470588235294,9.848667279411767,9.15527380129788e-06,4.999999873689376e-05,0.004228657,0.0010248398,0.0032038218,0.9835368,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.4117647058823,4,2,72000,False,68,18,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_07-14-44,1612937684,1526.1694424152374,27481.593104839325,15250,esfinge,147.96.71.224,27481.593104839325,0,18,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1004, 1026, 1019, 1034, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019, 1023, 1034, 1012, 1022, 1013, 1000, 1031, 1027, 1023, 1006, 1019, 1025, 1021, 1007, 1007, 1027]",1.7319109996192046,0.24635761667471764,5.4249002169213085,0.10632888075950722,15542.018,257.367,547.611,7304.454,1509989.114,2.649,14.083,72000,72000,74.20560146923783,10.043526170798899,4.57763690064894e-06,4.999999873689376e-05,0.002747522,4.253897e-05,0.0027049824,0.9875256,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.2361111111111,4,2,76000,False,72,19,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_07-40-11,1612939211,1526.0110037326813,29007.604108572006,15250,esfinge,147.96.71.224,29007.604108572006,0,19,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1012, 1015, 1015, 1019, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019, 1023, 1034, 1012, 1022, 1013, 1000, 1031, 1027, 1023, 1006, 1019, 1025, 1021, 1007, 1007, 1027, 1004, 1026, 1019, 1034]",1.7318692283095136,0.2462049338769613,5.424716903652125,0.1063165109701422,15540.788,257.387,545.671,7330.418,1509972.715,2.649,14.038,76000,76000,74.19536271809,10.212121212121213,2.28881845032447e-06,4.999999873689376e-05,0.003004453,0.0011585917,0.0018458617,0.99067235,0.0,0.0,0.0
-21.0,-21.0,-21.0,1018.3684210526316,4,2,80000,False,76,20,8c939ea4886b4cbd940e6c44757f33e9,2021-02-10_08-05-39,1612940739,1526.9355037212372,30534.539612293243,15250,esfinge,147.96.71.224,30534.539612293243,0,20,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1029, 1008, 1034, 1012, 1009, 1016, 1020, 1020, 1036, 1016, 1013, 1030, 1023, 1016, 1020, 1009, 1015, 1029, 1020, 1012, 1031, 1018, 1018, 1018, 1021, 1034, 1016, 1013, 1027, 1008, 1027, 1002, 1009, 1031, 1018, 1010, 1002, 1012, 1017, 1015, 1018, 1013, 1028, 1019, 1021, 1024, 1011, 1023, 1015, 1021, 1009, 1019, 1023, 1034, 1012, 1022, 1013, 1000, 1031, 1027, 1023, 1006, 1019, 1025, 1021, 1007, 1007, 1027, 1004, 1026, 1019, 1034, 1012, 1015, 1015, 1019]",1.7318457411352166,0.2460523746719123,5.424644352739115,0.10630712469266654,15538.071,257.432,545.715,7329.832,1510066.334,2.649,13.887,80000,80000,74.19095915557595,9.880816888480956,1.144409225162235e-06,4.999999873689376e-05,0.004428434,-0.0011209493,0.005549379,0.9667299,0.0,0.0,0.0
