episode,step_time_ms,steps,reward
0,0.766226426645904,997,-21.0
1,0.7655847875286125,1003,-21.0
2,0.7658886015597803,1021,-21.0
3,0.7629542707424767,982,-21.0
4,0.7588515479517309,989,-21.0
