episode,step_time_ms,steps,reward
0,1.3061302800580745,1045,-21.0
1,1.303488329258256,1271,-19.0
2,1.3111847718259964,1022,-21.0
3,1.3015243468005975,1123,-20.0
4,1.307106644204264,1135,-20.0
5,1.3085899934939706,1050,-21.0
6,1.3090518109152183,1028,-21.0
7,1.3070053581627663,1027,-21.0
8,1.3050334641973125,1105,-20.0
9,1.3089858407330586,1134,-20.0
10,1.3070612198678186,1119,-20.0
11,1.2852833742064047,1030,-21.0
12,1.3080784331137598,1102,-20.0
13,1.2136299879252386,1135,-20.0
14,1.173383612203748,1034,-21.0
15,1.1765973010973374,1054,-21.0
16,1.174690798034886,1018,-21.0
17,1.1589648051578652,1115,-20.0
18,1.155221725211424,1123,-20.0
19,1.157349568006255,1099,-20.0
