episode,step_time_ms,steps,reward
0,70.47970706773316,1015,-21.0
1,70.58252189755888,1000,-21.0
2,70.41498827617876,1003,-21.0
3,70.43949984766257,989,-21.0
4,70.45156478894849,1003,-21.0
