episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,4804800,False,4564,1001,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-20-10,1614194410,56.245009660720825,48387.76795268059,5698,esfinge,147.96.71.224,56.245009660720825,0,1,[],[],10703.373,448.457,5881.279,816.149,39195.478,122.463,15.584,4804800,4804800,16.930487804878044,26.723170731707324,0.20000000298023224,4.999999873689376e-05,-0.15881231,-0.23994337,0.0741275,0.7766462,0.035017826,1.4317882,0.0
nan,nan,nan,nan,0,8,4809600,False,4564,1002,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-20-59,1614194459,48.35862326622009,48436.12657594681,5698,esfinge,147.96.71.224,104.60363292694092,0,2,[],[],10260.956,467.793,3634.256,1320.766,37985.613,126.364,15.259,4809600,4809600,17.63623188405797,28.069565217391304,0.30000001192092896,4.999999873689376e-05,-0.13258834,-0.2123025,0.069155216,0.8345721,0.03519651,1.4021257,0.0
nan,nan,nan,nan,0,8,4814400,False,4564,1003,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-21-47,1614194507,47.59025692939758,48483.716832876205,5698,esfinge,147.96.71.224,152.1938898563385,0,3,[],[],10140.025,473.372,2835.765,1692.665,37351.617,128.508,15.468,4814400,4814400,17.701470588235296,28.16470588235294,0.44999998807907104,4.999999873689376e-05,-0.1444263,-0.22062965,0.06195152,0.83791846,0.031670727,1.4177481,0.0
-20.0,-20.0,-20.0,1251.0,1,8,4819200,False,4565,1004,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-22-35,1614194555,47.83178734779358,48531.548620224,5698,esfinge,147.96.71.224,200.02567720413208,0,4,[-20.0],[1251],10068.358,476.741,2438.838,1968.15,37102.563,129.371,15.486,4819200,4819200,17.39558823529412,28.201470588235296,0.675000011920929,4.999999873689376e-05,-0.15199275,-0.22099325,0.049118582,0.8869634,0.029454641,1.3828936,0.0
-19.0,-21.0,-20.0,1334.0,6,8,4824000,False,4571,1005,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-23-23,1614194603,47.67110896110535,48579.219729185104,5698,esfinge,147.96.71.224,247.69678616523743,0,5,"[-20.0, -20.0, -20.0, -20.0, -19.0, -21.0, -20.0]","[1262, 1410, 1312, 1622, 1326, 1155, 1251]",10041.635,478.01,2235.372,2147.294,36867.822,130.195,15.903,4824000,4824000,17.872058823529414,28.583823529411767,1.0125000476837158,4.999999873689376e-05,-0.11769206,-0.20484805,0.06182586,0.8353048,0.025017401,1.3535137,0.0
-19.0,-21.0,-20.11111111111111,1328.5555555555557,2,8,4828800,False,4573,1006,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-24-12,1614194652,47.749449729919434,48626.969178915024,5698,esfinge,147.96.71.224,295.44623589515686,0,6,"[-21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -19.0, -21.0]","[1064, 1555, 1251, 1262, 1410, 1312, 1622, 1326, 1155]",10002.773,479.867,2089.68,2297.002,36755.318,130.593,16.089,4828800,4828800,17.470588235294116,29.379411764705875,1.5187499523162842,4.999999873689376e-05,-0.13532732,-0.21832366,0.050964218,0.82763803,0.021091111,1.4300952,0.0
-19.0,-21.0,-20.0,1351.0,4,8,4833600,False,4577,1007,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-25-00,1614194700,47.839733839035034,48674.80891275406,5698,esfinge,147.96.71.224,343.2859697341919,0,7,"[-20.0, -19.0, -21.0, -19.0, -20.0, -20.0, -20.0, -20.0, -20.0, -19.0, -21.0, -21.0, -20.0]","[1400, 1324, 1300, 1582, 1251, 1262, 1410, 1312, 1622, 1326, 1155, 1064, 1555]",9988.639,480.546,1990.075,2411.969,36670.185,130.897,16.127,4833600,4833600,17.554411764705886,29.886764705882346,2.278125047683716,4.999999873689376e-05,-0.12105062,-0.20126045,0.040730774,0.88897634,0.017329633,1.3888065,0.0
-17.0,-21.0,-19.75,1387.5625,3,8,4838400,False,4580,1008,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-25-48,1614194748,47.7306592464447,48722.5395720005,5698,esfinge,147.96.71.224,391.0166289806366,0,8,"[-18.0, -17.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -19.0, -21.0, -21.0, -20.0, -20.0, -19.0, -21.0, -19.0]","[1570, 1670, 1398, 1251, 1262, 1410, 1312, 1622, 1326, 1155, 1064, 1555, 1400, 1324, 1300, 1582]",9982.795,480.827,1917.86,2502.79,36586.159,131.197,16.064,4838400,4838400,17.675,28.482352941176472,2.278125047683716,4.999999873689376e-05,-0.1163248,-0.2013621,0.046838865,0.9000573,0.016767496,1.4092431,0.0
-17.0,-21.0,-19.833333333333332,1385.4444444444443,2,8,4843200,False,4582,1009,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-26-36,1614194796,47.34161901473999,48769.88119101524,5698,esfinge,147.96.71.224,438.3582479953766,0,9,"[-21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -19.0, -21.0, -21.0, -20.0, -20.0, -19.0, -21.0, -19.0, -18.0, -17.0, -21.0]","[1429, 1308, 1251, 1262, 1410, 1312, 1622, 1326, 1155, 1064, 1555, 1400, 1324, 1300, 1582, 1570, 1670, 1398]",9965.45,481.664,1848.412,2596.824,36501.855,131.5,16.188,4843200,4843200,17.449253731343287,29.076119402985075,2.278125047683716,4.999999873689376e-05,-0.1210821,-0.20026708,0.04287285,0.9006758,0.015939485,1.4133167,0.0
-17.0,-21.0,-19.91304347826087,1392.7391304347825,5,8,4848000,False,4587,1010,c4999a0812424ea3bb48a9c837b6ac54,2021-02-24_20-27-24,1614194844,47.65601110458374,48817.53720211983,5698,esfinge,147.96.71.224,486.0142590999603,0,10,"[-21.0, -19.0, -21.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -19.0, -21.0, -21.0, -20.0, -20.0, -19.0, -21.0, -19.0, -18.0, -17.0, -21.0, -21.0, -20.0]","[1553, 1540, 1191, 1467, 1344, 1251, 1262, 1410, 1312, 1622, 1326, 1155, 1064, 1555, 1400, 1324, 1300, 1582, 1570, 1670, 1398, 1429, 1308]",9957.485,482.049,1796.99,2671.134,36456.26,131.665,16.09,4848000,4848000,17.729411764705883,29.866176470588226,2.278125047683716,4.999999873689376e-05,-0.10119411,-0.1989833,0.060403172,0.8826198,0.016410876,1.370979,0.0
