n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
111,-21.0,-18.21,-12.0,1621.54,14076.187
112,-21.0,-18.24,-12.0,1621.04,14078.976
113,-21.0,-18.22,-12.0,1620.51,14082.074
114,-21.0,-18.27,-12.0,1615.39,14090.019
115,-21.0,-18.27,-12.0,1614.82,14077.921
116,-21.0,-18.26,-12.0,1618.13,14073.113
117,-21.0,-18.23,-12.0,1619.01,14077.919
118,-21.0,-18.24,-12.0,1622.99,14085.641
119,-21.0,-18.16,-12.0,1635.9,14082.524
120,-21.0,-18.15,-12.0,1634.78,14084.19
121,-21.0,-18.09,-12.0,1649.67,14074.937
122,-21.0,-18.05,-12.0,1658.69,14071.317
123,-21.0,-18.05,-12.0,1658.69,14066.239
124,-21.0,-18.12,-14.0,1649.97,14071.422
125,-21.0,-18.11,-14.0,1646.98,14082.437
126,-21.0,-18.11,-14.0,1646.98,14086.286
127,-21.0,-18.18,-14.0,1642.43,14091.667
128,-21.0,-18.05,-14.0,1654.17,14092.718
129,-21.0,-18.05,-14.0,1654.17,14095.256
130,-21.0,-18.03,-15.0,1656.96,14096.475
131,-21.0,-17.95,-15.0,1666.33,14102.409
132,-21.0,-17.98,-15.0,1660.95,14099.575
133,-21.0,-17.95,-15.0,1657.83,14097.762
134,-21.0,-17.9,-15.0,1668.15,14088.431
135,-21.0,-17.91,-15.0,1667.2,14089.885
136,-21.0,-17.86,-15.0,1677.88,14091.507
137,-21.0,-17.82,-15.0,1681.77,14090.403
138,-21.0,-17.8,-15.0,1683.78,14089.465
139,-21.0,-17.74,-15.0,1691.4,14087.253
140,-21.0,-17.74,-15.0,1692.05,14086.519
141,-21.0,-17.75,-15.0,1693.26,14084.387
142,-21.0,-17.74,-15.0,1693.88,14095.242
143,-21.0,-17.71,-13.0,1697.25,14093.017
144,-21.0,-17.73,-13.0,1699.24,14107.713
145,-21.0,-17.74,-13.0,1698.89,14111.148
146,-21.0,-17.66,-13.0,1707.3,14108.531
147,-21.0,-17.63,-13.0,1710.68,14110.5
148,-21.0,-17.57,-13.0,1716.89,14109.895
149,-21.0,-17.55,-13.0,1721.98,14114.911
150,-21.0,-17.52,-13.0,1730.87,14118.111
151,-21.0,-17.42,-13.0,1743.5,14118.331
152,-21.0,-17.42,-13.0,1742.48,14105.01
153,-21.0,-17.32,-13.0,1754.72,14106.882
154,-21.0,-17.28,-13.0,1756.8,14097.63
155,-21.0,-17.33,-13.0,1751.5,14096.546
156,-21.0,-17.34,-13.0,1748.16,14091.025
157,-21.0,-17.34,-13.0,1747.09,14088.151
158,-21.0,-17.34,-13.0,1745.9,14092.544
159,-21.0,-17.32,-13.0,1748.99,14083.967
160,-21.0,-17.32,-13.0,1750.0,14074.71
161,-21.0,-17.27,-13.0,1756.8,14070.819
162,-21.0,-17.27,-13.0,1756.12,14082.833
163,-21.0,-17.25,-13.0,1753.91,14085.594
164,-21.0,-17.22,-13.0,1754.12,14088.796
165,-21.0,-17.24,-13.0,1748.66,14078.143
166,-21.0,-17.19,-13.0,1753.51,14077.556
167,-21.0,-17.14,-13.0,1763.02,14076.208
168,-21.0,-17.11,-13.0,1765.53,14077.038
169,-21.0,-17.09,-13.0,1769.33,14079.672
170,-21.0,-17.08,-13.0,1774.59,14090.581
171,-21.0,-17.08,-13.0,1772.74,14089.322
172,-21.0,-17.08,-13.0,1776.85,14085.526
173,-21.0,-17.08,-13.0,1775.81,14079.216
174,-21.0,-17.08,-13.0,1783.44,14066.632
175,-21.0,-17.13,-13.0,1775.32,14068.625
176,-21.0,-17.14,-13.0,1776.91,14066.731
177,-21.0,-17.1,-13.0,1786.62,14066.146
178,-21.0,-17.11,-13.0,1784.27,14051.82
179,-21.0,-17.05,-13.0,1791.15,14051.802
