n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,9403.266
2,nan,nan,nan,nan,9063.138
3,nan,nan,nan,nan,8969.48
4,-21.0,-21.0,-21.0,1022.125,8982.454
5,-21.0,-21.0,-21.0,1019.0,8924.756
6,-21.0,-21.0,-21.0,1019.5625,8884.775
7,-21.0,-21.0,-21.0,1018.0,8860.796
8,-21.0,-21.0,-21.0,1018.0,8839.606
9,-21.0,-21.0,-21.0,1018.625,8826.686
10,-21.0,-21.0,-21.0,1018.5675675675676,8814.72
