n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,29548.475,37.85724329948425
2,nan,nan,nan,nan,19234.332,14.474233150482178
3,nan,nan,nan,nan,15815.443,14.562686681747437
4,-21.0,-21.0,-21.0,1019.75,14114.345,14.570362091064453
5,-21.0,-21.0,-21.0,1016.9,13093.069,14.587110757827759
6,-21.0,-21.0,-21.0,1016.8125,12361.849,14.27537202835083
7,-21.0,-21.0,-21.0,1017.2083333333334,11882.457,14.572555780410767
8,-21.0,-21.0,-21.0,1017.2083333333334,11518.927,14.51464295387268
9,-21.0,-21.0,-21.0,1019.84375,11209.701,14.321967124938965
10,-21.0,-21.0,-21.0,1020.4242424242424,10955.866,14.222641944885254
11,-21.0,-21.0,-21.0,1020.5,8872.282,14.286771535873413
12,-21.0,-21.0,-21.0,1020.2291666666666,8866.513,14.466335773468018
13,-21.0,-21.0,-21.0,1020.2291666666666,8869.323,14.561983585357666
14,-21.0,-21.0,-21.0,1020.4821428571429,8868.916,14.59583306312561
15,-21.0,-21.0,-21.0,1020.4137931034483,8869.019,14.576119184494019
16,-21.0,-21.0,-21.0,1021.203125,8898.276,14.603971719741821
17,-21.0,-21.0,-21.0,1021.2361111111111,8899.199,14.571119785308838
18,-21.0,-21.0,-21.0,1021.2361111111111,8887.531,14.404654026031494
19,-21.0,-21.0,-21.0,1021.4875,8865.49,14.080945491790771
20,-21.0,-21.0,-21.0,1021.320987654321,8857.849,14.158716917037964
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,29032.992,37.32208704948425
2,nan,nan,nan,nan,19020.267,14.412728786468506
3,nan,nan,nan,nan,15671.285,14.342078924179077
4,-21.0,-21.0,-21.0,1019.125,14014.526,14.512994527816772
5,-21.0,-21.0,-21.0,1020.1,13012.913,14.412262439727783
6,-21.0,-21.0,-21.0,1020.0625,12347.855,14.442762613296509
7,-21.0,-21.0,-21.0,1024.090909090909,11831.658,14.14677619934082
8,-21.0,-21.0,-21.0,1027.1666666666667,11471.082,14.3412344455719
9,-21.0,-21.0,-21.0,1032.0,11172.448,14.202385425567627
10,-21.0,-20.96875,-20.0,1062.78125,10959.621,14.46549940109253
11,-21.0,-20.945945945945947,-20.0,1082.2972972972973,8959.986,14.48780369758606
12,-21.0,-20.925,-20.0,1093.1,8961.03,14.443123817443848
13,-21.0,-20.933333333333334,-20.0,1095.4,8966.408,14.482707500457764
14,-21.0,-20.93617021276596,-20.0,1100.7659574468084,8964.483,14.42586374282837
15,-21.0,-20.93877551020408,-20.0,1106.0204081632653,8969.703,14.467060804367065
16,-21.0,-20.85185185185185,-18.0,1129.351851851852,8968.126,14.449589490890503
17,-21.0,-20.854545454545455,-18.0,1131.6363636363637,8994.453,14.407572746276855
18,-21.0,-20.78688524590164,-18.0,1149.5737704918033,9001.897,14.433053255081177
19,-21.0,-20.741935483870968,-18.0,1173.2096774193549,9028.953,14.460723161697388
20,-21.0,-20.651515151515152,-18.0,1205.560606060606,9025.073,14.412853002548218
