model,reward_mean_last_iter,len_mean_last_iter,mean_time_this_iter_s,mean_learn_time_ms,mean_learn_throughput,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_update_time_ms,mean_cpu_util_percent,mean_ram_util_percent
no_gpus_8_workers,-21.0,1049.0125,519.9730347605313,517637.49235294125,9.272882352941178,2076.4857647058825,2312.1228823529414,173.6214705882353,30150.900882352944,10.494235294117646,9.170418239514673,8.054590105310185
gpu0_8_workers,-20.651515151515152,1205.560606060606,14.398728524937349,10273.542058823528,478.51164705882354,5229.074529411764,919.0113529411765,171.14952941176472,30548.882294117648,7.880000000000001,9.369480519480518,34.27541380188438
gpu1_8_workers,-21.0,1020.1604938271604,14.953830522649428,9315.489294117646,515.2945294117646,5391.463,890.3095882352942,167.95594117647056,31338.95905882353,7.0717647058823525,9.250331041507511,24.258352431881846
both_gpus_8_workers,-21.0,1017.5,12.99413379500894,10184.345470588234,480.92894117647063,3755.050764705882,1280.194588235294,173.47000000000003,30253.199235294116,8.510529411764706,9.50952012383901,30.360287237702096
both_gpus_16_workers,-21.0,1018.32,16.334003448486328,13745.0869375,474.42981249999997,3849.314125,1669.46225,320.8635625,23125.006875,9.220625,11.221365489130434,52.0101902173913
gpu0_driver_8_workers,-21.0,1018.6666666666666,11.353494924657484,10156.613705882351,482.41758823529415,2101.16305882353,2284.924235294118,170.89811764705883,30719.92705882353,7.974941176470589,9.418728373702422,10.479411764705883
gpu1_driver_8_workers,-20.96296296296296,1025.6543209876545,11.70833828869988,9350.841411764706,513.3303529411764,2089.8415882352942,2297.126529411765,169.92158823529414,30992.03017647059,7.968941176470588,8.801441753171858,9.286293733179546
both_gpus_driver_8_workers,-21.0,1019.6296296296296,12.728527686175179,12065.375470588235,410.8723529411765,2094.433352941177,2292.145529411765,167.7690588235294,31245.04264705882,7.2385294117647065,10.803405572755418,11.992294461644306
gpu0_no_cpus_8_workers,-21.0,1019.4096385542168,14.465355662738576,10022.752058823527,486.8204117647059,5256.822235294118,913.6422352941175,167.8329411764706,31523.45117647059,8.163705882352943,8.69438884644767,33.16679781003312
gpu1_no_cpus_8_workers,-21.0,1019.560975609756,14.922410123488483,9365.597588235294,512.5391764705882,5314.638176470588,903.1909411764707,168.74276470588234,31347.464000000004,7.069470588235295,8.369289533995415,23.120282658517954
both_gpus_no_cpus_8_workers,-21.0,1020.265060240964,13.03173657024608,10341.537,475.6897647058824,3832.218529411765,1254.5502352941176,171.5990588235294,30637.341,7.750235294117647,8.736501547987617,29.283250773993803
gpu0_cpu0_8_workers,-20.746835443037973,1078.4050632911392,40.34002290052526,14611.522470588234,335.7697058823529,27343.770823529412,175.84105882352944,251.2714117647059,20215.348764705883,10.636235294117645,3.931910258335701,33.2513720484041
gpu1_cpu0_8_workers,-20.746835443037973,1078.4050632911392,40.34002290052526,14611.522470588234,335.7697058823529,27343.770823529412,175.84105882352944,251.2714117647059,20215.348764705883,10.636235294117645,3.931910258335701,33.2513720484041
