model,reward_mean_last_iter,len_mean_last_iter,mean_time_this_iter_s,mean_learn_time_s,mean_learn_throughput,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_update_time_ms,mean_cpu_util_percent,mean_ram_util_percent,mean_gpu_util_percent0,mean_vram_util_percent0,mean_gpu_util_percent1,mean_vram_util_percent1
gpu0_8_workers,-20.42105263157895,1102.1184210526317,19.13538462975446,13.740237529411765,353.98282352941175,5966.959294117647,804.9244705882352,757.027705882353,6797.524647058824,8.278470588235294,8.653823529411765,36.393,0.6248245098039216,0.6420801054887094,0.0,0.0
gpu0_driver_8_workers,-21.0,1047.7625,17.249900116639978,14.464374470588236,337.33388235294115,3444.1393529411766,1393.7144117647058,740.5988235294117,6955.369294117647,12.490235294117648,9.46436598354757,12.713457003354701,0.43965993512029317,0.10425251359815396,0.0,0.0
gpu1_8_workers,-21.0,1018.2530120481928,24.348284118315753,17.214950058823533,278.8301176470588,6377.8161176470585,752.6384117647058,748.5515294117647,6863.147,10.576470588235294,7.790292931688805,26.44567718216319,7.471537001897534e-05,4.120652711389485e-05,0.5494900379506642,0.38009843125192266
gpu1_driver_8_workers,-21.0,1018.5121951219513,21.499503514345953,17.26159705882353,278.07641176470594,3457.121176470588,1388.4683529411761,738.6284117647059,6944.316764705883,9.333117647058822,8.560068471833176,11.617724867724867,0.0,4.120652711389485e-05,0.3971265172735762,0.06333435865887417
both_gpus_2_workers,-21.0,1018.6103896103896,24.731576132774354,16.806756150000002,254.7591999999999,9609.84915,417.15755,801.2821000000001,6130.708049999999,8.16065,6.166395140599343,14.960489865558296,0.2916164614121511,0.1706527113894841,0.04443420309934319,0.05370655183020608
both_gpus_4_workers,-20.972602739726028,1021.7260273972604,17.165212493193778,13.19937657894737,315.6936315789474,5684.202105263158,705.0036315789474,703.1453684210527,6478.621789473684,7.4925263157894735,7.443210298473456,20.684107997265894,0.4972966507177034,0.25185429372012524,0.12401344269765321,0.09329437096278068
both_gpus_8_workers,-20.36111111111111,1125.986111111111,21.319426634732416,17.201026352941174,280.5888823529412,4421.612176470589,1086.9044117647059,740.5612941176471,6971.469705882352,10.283647058823528,7.98255404725993,32.55077090665326,0.4634976705211999,0.3732487225976595,0.1075641695994637,0.17247000922792988
both_gpus_driver_8_workers,-21.0,1018.6428571428572,19.058783755582922,16.827567411764708,291.96370588235294,3469.503,1383.7557647058823,723.4094117647059,7126.383176470588,8.77235294117647,10.788266294660156,14.291004030070525,0.2724038014415252,0.08323718477006761,0.2675163721615128,0.04321747154721624
both_gpus_16_workers,-21.0,1020.66,27.155648425221443,22.531251,285.153,4662.1920625,1373.46625,971.743625,6927.2488125,13.395875,9.086829461898397,55.87551282586898,0.47883247688279856,0.6423273446513926,0.11142041973039216,0.3308828052906798
