model,reward_mean_last_iter,len_mean_last_iter,mean_learn_time_ms,mean_learn_throughput,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_update_time_ms,mean_cpu_util_percent,mean_ram_util_percent
gpu0,-21.0,1016.64,13286.797428284855,361.47353059177533,7003.762807422267,685.9220541624874,2687.8757953861586,1883.5819358074225,13.647373119358074,9.675232205845216,38.184656532352314
gpu1,-16.27,2391.66,11321.855097291875,424.154850551655,6724.816344032096,714.0451955867603,4018.2370130391173,1305.8512547642927,8.922470411233702,24.753862298944046,34.106492810135734
both_gpus,-12.15,3229.87,10679.207739217652,450.05564292878637,5126.755189568706,937.6672026078235,5558.287040120361,867.1928665997993,10.24101003009027,8.464015941103945,34.47038918704165
