n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
115,-21.0,-20.02,-16.0,1419.41,16889.184
116,-21.0,-20.03,-16.0,1427.31,16880.34
117,-21.0,-20.01,-16.0,1430.88,16879.616
118,-21.0,-20.0,-16.0,1432.49,16877.953
119,-21.0,-20.0,-16.0,1438.42,16873.732
120,-21.0,-19.99,-16.0,1438.94,16880.508
121,-21.0,-19.98,-16.0,1445.03,16873.009
122,-21.0,-19.92,-16.0,1458.37,16892.817
123,-21.0,-19.92,-16.0,1457.61,16911.404
124,-21.0,-19.84,-16.0,1473.58,16894.494
125,-21.0,-19.84,-16.0,1473.58,16887.153
126,-21.0,-19.82,-16.0,1479.44,16892.405
127,-21.0,-19.82,-16.0,1487.14,16886.262
128,-21.0,-19.8,-16.0,1491.4,16893.653
129,-21.0,-19.75,-16.0,1490.09,16900.8
130,-21.0,-19.73,-16.0,1493.39,16917.114
131,-21.0,-19.66,-16.0,1497.04,16921.566
132,-21.0,-19.66,-16.0,1499.22,16912.772
133,-21.0,-19.64,-16.0,1502.88,16913.677
134,-21.0,-19.68,-16.0,1496.29,16930.073
135,-21.0,-19.68,-16.0,1502.43,16941.307
136,-21.0,-19.66,-16.0,1506.49,16930.81
137,-21.0,-19.63,-16.0,1512.66,16949.998
138,-21.0,-19.61,-16.0,1518.09,16946.599
139,-21.0,-19.56,-16.0,1527.27,16958.368
140,-21.0,-19.52,-16.0,1538.5,16955.925
141,-21.0,-19.5,-16.0,1539.05,16964.649
142,-21.0,-19.52,-16.0,1543.74,16964.73
143,-21.0,-19.49,-16.0,1551.37,16945.176
144,-21.0,-19.49,-16.0,1552.34,16924.169
145,-21.0,-19.46,-16.0,1557.36,16917.786
146,-21.0,-19.42,-16.0,1562.35,16932.432
147,-21.0,-19.43,-16.0,1564.46,16950.902
148,-21.0,-19.41,-16.0,1556.72,16993.293
149,-21.0,-19.42,-16.0,1561.86,17003.808
150,-21.0,-19.41,-16.0,1568.73,17014.947
151,-21.0,-19.41,-16.0,1565.23,17002.637
152,-21.0,-19.37,-16.0,1572.42,16972.713
153,-21.0,-19.34,-16.0,1575.65,16973.839
154,-21.0,-19.35,-16.0,1576.18,16965.14
155,-21.0,-19.37,-16.0,1578.3,16965.042
156,-21.0,-19.37,-16.0,1584.07,16960.755
157,-21.0,-19.4,-16.0,1583.31,16944.131
158,-21.0,-19.42,-16.0,1579.62,16921.412
159,-21.0,-19.41,-16.0,1586.35,16924.413
160,-21.0,-19.39,-16.0,1598.57,16922.765
161,-21.0,-19.41,-17.0,1605.15,16960.819
162,-21.0,-19.4,-17.0,1607.84,16997.345
163,-21.0,-19.42,-17.0,1610.57,17012.466
164,-21.0,-19.45,-17.0,1612.0,17030.87
165,-21.0,-19.44,-17.0,1619.27,17029.14
166,-21.0,-19.45,-17.0,1625.49,17023.668
167,-21.0,-19.45,-17.0,1632.78,17026.159
168,-21.0,-19.43,-17.0,1640.3,17019.037
169,-21.0,-19.4,-17.0,1642.73,16993.13
170,-21.0,-19.38,-17.0,1647.11,16974.763
171,-21.0,-19.38,-17.0,1656.11,16951.643
172,-21.0,-19.35,-17.0,1662.53,16946.39
173,-21.0,-19.36,-17.0,1664.11,16927.787
174,-21.0,-19.4,-17.0,1667.08,16918.13
175,-21.0,-19.39,-17.0,1675.35,16920.794
176,-21.0,-19.4,-17.0,1680.32,16923.735
177,-21.0,-19.4,-17.0,1682.98,16918.195
178,-21.0,-19.37,-17.0,1695.39,16917.283
179,-21.0,-19.35,-17.0,1701.39,16918.091
180,-21.0,-19.32,-17.0,1706.97,16906.755
181,-21.0,-19.33,-17.0,1715.33,16898.948
182,-21.0,-19.33,-17.0,1718.75,16886.765
183,-21.0,-19.31,-17.0,1725.98,16894.125
184,-21.0,-19.3,-17.0,1725.51,16906.42
185,-21.0,-19.24,-16.0,1733.3,16913.237
186,-21.0,-19.23,-16.0,1736.57,16920.442
187,-21.0,-19.22,-16.0,1738.25,16938.988
188,-21.0,-19.22,-16.0,1741.87,16958.155
189,-21.0,-19.22,-16.0,1748.13,16983.511
190,-21.0,-19.19,-16.0,1758.16,17011.224
191,-21.0,-19.22,-16.0,1757.92,17007.601
192,-21.0,-19.24,-16.0,1756.48,17011.626
193,-21.0,-19.25,-16.0,1755.2,17012.559
194,-21.0,-19.26,-16.0,1759.85,17013.728
195,-21.0,-19.29,-16.0,1762.4,17012.07
196,-21.0,-19.28,-16.0,1764.0,17038.303
197,-21.0,-19.3,-16.0,1758.28,17050.713
198,-21.0,-19.27,-16.0,1765.82,17047.671
199,-21.0,-19.27,-16.0,1767.58,17042.517
200,-21.0,-19.21,-16.0,1776.68,17024.907
201,-21.0,-19.22,-16.0,1782.23,17028.89
202,-21.0,-19.22,-16.0,1782.23,17036.002
203,-21.0,-19.25,-16.0,1775.23,17032.239
204,-21.0,-19.23,-16.0,1779.31,17018.93
205,-21.0,-19.21,-15.0,1782.95,17020.71
206,-21.0,-19.24,-15.0,1772.52,16998.452
207,-21.0,-19.24,-15.0,1774.53,16969.185
208,-21.0,-19.27,-15.0,1766.93,16950.574
209,-21.0,-19.3,-15.0,1771.83,16931.237
210,-21.0,-19.3,-15.0,1766.51,16939.009
211,-21.0,-19.25,-15.0,1766.73,16941.996
212,-21.0,-19.22,-15.0,1764.32,16951.685
213,-21.0,-19.19,-15.0,1771.36,16949.099
214,-21.0,-19.17,-15.0,1763.91,16955.488
215,-21.0,-19.19,-15.0,1766.34,16960.634
216,-21.0,-19.15,-15.0,1758.0,16947.283
217,-21.0,-19.16,-15.0,1756.25,16946.663
218,-21.0,-19.17,-15.0,1755.24,16949.797
