n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
1,nan,nan,nan,nan,49812.429
2,nan,nan,nan,nan,37620.913
3,nan,nan,nan,nan,33574.939
4,-21.0,-21.0,-21.0,1020.5,31551.785
5,-21.0,-21.0,-21.0,1018.6363636363636,30334.286
6,-21.0,-21.0,-21.0,1020.25,29528.448
7,-21.0,-21.0,-21.0,1017.9583333333334,28952.589
8,-21.0,-21.0,-21.0,1017.9583333333334,28513.855
9,-21.0,-21.0,-21.0,1018.3125,28174.028
10,-21.0,-21.0,-21.0,1018.0571428571428,27909.81
11,-21.0,-21.0,-21.0,1018.55,25477.236
12,-21.0,-21.0,-21.0,1018.5208333333334,25480.601
13,-21.0,-21.0,-21.0,1018.5208333333334,25479.279
14,-21.0,-21.0,-21.0,1018.1964285714286,25472.572
15,-21.0,-21.0,-21.0,1018.3666666666667,25470.685
16,-21.0,-21.0,-21.0,1018.6875,25469.356
17,-21.0,-21.0,-21.0,1018.875,25468.835
18,-21.0,-21.0,-21.0,1018.875,25472.14
19,-21.0,-21.0,-21.0,1018.6375,25475.897
20,-21.0,-21.0,-21.0,1018.4285714285714,25469.108
21,-21.0,-21.0,-21.0,1018.4659090909091,25470.447
22,-21.0,-21.0,-21.0,1018.3854166666666,25472.547
23,-21.0,-21.0,-21.0,1018.3854166666666,25473.698
24,-21.0,-21.0,-21.0,1018.88,25485.815
25,-21.0,-21.0,-21.0,1018.48,25490.632
26,-21.0,-21.0,-21.0,1018.75,25490.535
27,-21.0,-21.0,-21.0,1018.95,25493.347
28,-21.0,-21.0,-21.0,1018.95,25504.71
29,-21.0,-21.0,-21.0,1018.67,25504.254
30,-21.0,-21.0,-21.0,1018.65,25493.869
31,-21.0,-21.0,-21.0,1018.72,25492.636
32,-21.0,-21.0,-21.0,1018.91,25495.258
33,-21.0,-21.0,-21.0,1018.91,25495.219
34,-21.0,-21.0,-21.0,1018.96,25488.539
35,-21.0,-21.0,-21.0,1019.45,25487.615
36,-21.0,-21.0,-21.0,1019.2,25488.924
37,-21.0,-21.0,-21.0,1019.01,25487.123
38,-21.0,-21.0,-21.0,1019.01,25473.186
39,-21.0,-21.0,-21.0,1019.02,25472.184
40,-21.0,-21.0,-21.0,1019.04,25487.132
41,-21.0,-21.0,-21.0,1019.22,25500.477
42,-21.0,-21.0,-21.0,1019.22,25507.131
43,-21.0,-21.0,-21.0,1019.22,25510.607
44,-21.0,-21.0,-21.0,1018.98,25517.734
45,-21.0,-21.0,-21.0,1019.13,25429.193
46,-21.0,-21.0,-21.0,1019.04,25433.016
47,-21.0,-21.0,-21.0,1019.18,25439.92
48,-21.0,-21.0,-21.0,1019.18,25422.922
49,-21.0,-21.0,-21.0,1019.13,25439.14
50,-21.0,-21.0,-21.0,1019.03,25392.56
51,-21.0,-21.0,-21.0,1019.48,25374.67
52,-21.0,-21.0,-21.0,1018.82,25362.918
53,-21.0,-21.0,-21.0,1018.82,25377.399
54,-21.0,-21.0,-21.0,1019.05,25366.6
55,-21.0,-21.0,-21.0,1019.29,25419.596
56,-21.0,-21.0,-21.0,1019.67,25419.217
57,-21.0,-21.0,-21.0,1019.7,25418.683
