n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,48154.02,67.40896224975586
2,nan,nan,nan,nan,35357.448,34.18730640411377
3,nan,nan,nan,nan,31666.458,33.384056091308594
4,-21.0,-21.0,-21.0,1018.25,29750.893,33.120092153549194
5,-21.0,-21.0,-21.0,1017.3076923076923,28619.037,33.01957821846008
6,-21.0,-21.0,-21.0,1019.875,27870.952,33.22589707374573
7,-21.0,-21.0,-21.0,1017.9166666666666,27307.448,32.82371711730957
8,-21.0,-21.0,-21.0,1017.9166666666666,26866.271,32.62292194366455
9,-21.0,-21.0,-21.0,1018.0,26502.27,32.684329986572266
10,-21.0,-21.0,-21.0,1018.0285714285715,26242.51,32.780073165893555
11,-21.0,-21.0,-21.0,1019.475,23810.707,32.90535283088684
12,-21.0,-21.0,-21.0,1018.1458333333334,23878.962,32.29621410369873
13,-21.0,-21.0,-21.0,1018.1458333333334,23829.553,32.806265115737915
14,-21.0,-21.0,-21.0,1019.4107142857143,23841.429,33.02927041053772
15,-21.0,-21.0,-21.0,1019.7457627118644,23825.941,32.84824776649475
16,-21.0,-21.0,-21.0,1019.671875,23779.821,32.691606760025024
17,-21.0,-21.0,-21.0,1018.8888888888889,23768.642,32.67613649368286
18,-21.0,-21.0,-21.0,1018.8888888888889,23803.83,32.97210335731506
19,-21.0,-21.0,-21.0,1019.25,23818.748,32.5938503742218
20,-21.0,-21.0,-21.0,1019.0365853658536,23811.41,32.724316120147705
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,50512.471,67.29392385482788
2,nan,nan,nan,nan,37293.16,32.834126710891724
3,nan,nan,nan,nan,32861.542,32.74317264556885
4,-21.0,-21.0,-21.0,1023.0,30626.408,32.66998219490051
5,-21.0,-21.0,-21.0,1021.3,29212.396,32.31699204444885
6,-21.0,-21.0,-21.0,1018.125,28332.832,32.729753494262695
7,-21.0,-21.0,-21.0,1027.875,27700.669,32.68134617805481
8,-21.0,-21.0,-21.0,1027.875,27225.899,32.68340730667114
9,-21.0,-21.0,-21.0,1023.4375,26861.6,32.67397356033325
10,-21.0,-21.0,-21.0,1023.5882352941177,26543.374,32.419042110443115
11,-21.0,-21.0,-21.0,1031.0,23850.699,32.32828497886658
12,-21.0,-21.0,-21.0,1029.8222222222223,23834.948,32.675936460494995
13,-21.0,-20.958333333333332,-19.0,1038.6041666666667,23827.485,32.66995191574097
14,-21.0,-20.962962962962962,-19.0,1040.5555555555557,23826.663,32.6584312915802
15,-21.0,-20.964285714285715,-19.0,1043.6785714285713,23859.643,32.640294313430786
16,-21.0,-20.967741935483872,-19.0,1047.5806451612902,23858.899,32.64698886871338
17,-21.0,-20.907692307692308,-19.0,1055.6615384615384,23859.04,32.5866277217865
18,-21.0,-20.91176470588235,-19.0,1055.0588235294117,23859.163,32.563775062561035
19,-21.0,-20.916666666666668,-19.0,1057.0972222222222,23857.325,32.63334393501282
20,-21.0,-20.87012987012987,-19.0,1073.7532467532467,23883.087,32.62569975852966
